user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.1.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__						GCA_003154775.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__Acidoferrum sp003154775	89.47	0.508	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002478115.1, s__Acidoferrum typicum, 95.0, 89.39, 0.433	90.45	11.0	0.9886	
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.10.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__						GCA_003141525.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141525	91.91	0.372	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003141715.1, s__LD21 sp003141715, 95.0, 89.97, 0.163	69.28	11.0	0.98765	
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.11.fa	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__						GCA_002780715.1	95.0	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__UBA1163 sp002780715	86.78	0.164	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		86.3	11.0	0.92609	
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.13.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Fen-330;s__											d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Fen-330;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		22.28	11.0	0.95416	
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.15.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Fen-330;s__						GCA_003137035.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Fen-330;s__Fen-330 sp003137035	90.34	0.185	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Fen-330;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		55.37	11.0	0.972	
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.18.fa	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__JALHTW01;s__											d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__JALHTW01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		15.79	11.0	0.884	
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.19.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__Bog-366;s__						GCA_003171295.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__Bog-366;s__Bog-366 sp003171295	90.85	0.345	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__Bog-366;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		89.24	11.0	0.96019	
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.20.fa	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Fen-1467;s__Fen-1467 sp903940425	GCA_903940425.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Fen-1467;s__Fen-1467 sp903940425	97.46	0.693							ani_screen	classification based on ANI only	GCA_003142615.1, s__Fen-1467 sp003142615, 95.0, 96.79, 0.653				
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.3.fa	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__UBA877;s__											d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__UBA877;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		79.46	11.0	0.96182	
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.4.fa	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__						GCA_003170415.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__Fen-1362 sp003170415	90.9	0.57	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003141275.1, s__Fen-1362 sp003141275, 95.0, 88.09, 0.404; GCA_903857265.1, s__Fen-1362 sp903857265, 95.0, 84.26, 0.229	85.66	11.0	0.99335	
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.8.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__						GCA_002478145.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__UBA7540 sp002478145	94.64	0.618	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		93.15	11.0	0.98736	
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.9.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__;s__											d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree		71.76	11.0	0.84913	
MEGAHIT-MaxBin2-Sample_ID22-SF_8_BOTTOM.007.fa																			
MEGAHIT-MetaBAT2-Sample_ID36-SF_15_BOTTOM.2.fa																			
MEGAHIT-DASToolUnbinned-Sample_ID24-SF_9_BOTTOM.fa																			
MEGAHIT-MetaBAT2-Sample_ID22-SF_8_BOTTOM.1.fa																			
MEGAHIT-DASToolUnbinned-Sample_ID18-SF_5_BOTTOM.fa																			
MEGAHIT-MaxBin2-Sample_ID34-SF_14_BOTTOM.001.fa																			
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.4.fa																			
MEGAHIT-DASToolUnbinned-Sample_ID34-SF_14_BOTTOM.fa																			
MEGAHIT-DASToolUnbinned-Sample_ID30-SF_12_BOTTOM.fa																			
MEGAHIT-MaxBin2-Sample_ID32-SF_13_BOTTOM.001.fa																			
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.2.fa																			
MEGAHIT-MetaBAT2-Sample_ID32-SF_13_BOTTOM.10.fa																			
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.8.fa																			
MEGAHIT-DASToolUnbinned-Sample_ID28-SF_11_BOTTOM.fa																			
MEGAHIT-MetaBAT2-Sample_ID32-SF_13_BOTTOM.6.fa																			
MEGAHIT-MetaBAT2-Sample_ID32-SF_13_BOTTOM.3.fa																			
MEGAHIT-DASToolUnbinned-Sample_ID20-SF_6_BOTTOM.fa																			
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.10.fa																			
MEGAHIT-MetaBAT2-Sample_ID32-SF_13_BOTTOM.9.fa																			
MEGAHIT-DASToolUnbinned-Sample_ID14-SF_3_BOTTOM.fa																			
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.5.fa																			
MEGAHIT-MetaBAT2-Sample_ID36-SF_15_BOTTOM.1.fa																			
MEGAHIT-MetaBAT2-Sample_ID36-SF_15_BOTTOM.4.fa																			
MEGAHIT-MetaBAT2-Sample_ID32-SF_13_BOTTOM.1.fa																			
MEGAHIT-MaxBin2-Sample_ID34-SF_14_BOTTOM.007.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__						GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	98.47	0.509	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI			47.8	11.0	0.99799	
MEGAHIT-MaxBin2-Sample_ID34-SF_14_BOTTOM.010.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__						GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	89.72	0.365	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI		GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 87.15, 0.178	74.6	11.0	0.97009	Genome has more than 13.2% of markers with multiple hits
MEGAHIT-MetaBAT2-Sample_ID22-SF_8_BOTTOM.3.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__						GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	89.51	0.372	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI		GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 85.79, 0.184	93.06	11.0	0.97079	
MEGAHIT-MetaBAT2-Sample_ID22-SF_8_BOTTOM.7.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	95.74	0.803							ani_screen	classification based on ANI only	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 92.63, 0.703; GCA_003139855.1, s__Bog-38 sp003139855, 95.0, 89.7, 0.588; GCA_003158275.1, s__Bog-38 sp003158275, 96.79, 89.59, 0.38				
MEGAHIT-MetaBAT2-Sample_ID22-SF_8_BOTTOM.9.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	98.88	0.808							ani_screen	classification based on ANI only					
MEGAHIT-DASToolUnbinned-Sample_ID26-SF_10_BOTTOM.fa	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__Fen-1308;s__						GCA_003170655.1	95.0	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__Fen-1308;s__Fen-1308 sp003170655	97.52	0.346	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__Fen-1308;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		30.84	11.0	0.97044	Genome has more than 30.8% of markers with multiple hits
MEGAHIT-CONCOCTRefined-Sample_ID34-SF_14_BOTTOM.22_sub.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__						GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	98.33	0.59	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI			48.82	11.0	0.99794	
MEGAHIT-MaxBin2Refined-Sample_ID34-SF_14_BOTTOM.010.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__						GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	89.72	0.365	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI		GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 87.15, 0.178	74.6	11.0	0.97009	Genome has more than 13.2% of markers with multiple hits
MEGAHIT-MaxBin2-Sample_ID34-SF_14_BOTTOM.002.fa	d__Bacteria;p__;c__;o__;f__;g__;s__											d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on consensus between backbone and class-level tree		31.56	11.0	0.33473	Genome has more than 20.0% of markers with multiple hits
MEGAHIT-MaxBin2-Sample_ID34-SF_14_BOTTOM.003.fa	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__;f__;g__;s__											d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__;f__;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		29.61	11.0	0.47062	Genome has more than 36.7% of markers with multiple hits
MEGAHIT-MaxBin2-Sample_ID34-SF_14_BOTTOM.004.fa	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__											d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003570985.1, s__Cryosericum hinesii, 95.0, 91.45, 0.231; GCF_003570935.1, s__Cryosericum odellii, 95.0, 91.45, 0.158; GCF_003570925.1, s__Cryosericum terrychapinii, 95.0, 89.52, 0.165	37.4	11.0	0.99178	Genome has more than 41.7% of markers with multiple hits
MEGAHIT-MaxBin2-Sample_ID34-SF_14_BOTTOM.005.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	GCA_003133645.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	98.81	0.798							ani_screen	classification based on ANI only	GCA_004298115.1, s__RBG-13-68-16 sp004298115, 95.0, 90.59, 0.273; GCA_002279285.1, s__RBG-13-68-16 sp002279285, 95.0, 93.98, 0.436				
MEGAHIT-MaxBin2-Sample_ID34-SF_14_BOTTOM.006.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__						GCA_003142255.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003142255	99.89	0.503	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		43.63	11.0	0.99281	Genome has more than 43.3% of markers with multiple hits
MEGAHIT-MaxBin2-Sample_ID34-SF_14_BOTTOM.008.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	GCA_003141415.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	99.64	0.829							ani_screen	classification based on ANI only	GCA_003141715.1, s__LD21 sp003141715, 95.0, 84.01, 0.198; GCA_017882305.1, s__LD21 sp017882305, 95.0, 83.39, 0.209				
MEGAHIT-MaxBin2-Sample_ID34-SF_14_BOTTOM.009.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	GCA_003141495.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	99.58	0.94							ani_screen	classification based on ANI only	GCA_003162595.1, s__LD21 sp003162595, 95.0, 89.44, 0.4; GCA_003141415.1, s__LD21 sp003141415, 95.0, 89.68, 0.235; GCA_003141715.1, s__LD21 sp003141715, 95.0, 83.65, 0.165				
MEGAHIT-MetaBAT2-Sample_ID36-SF_15_BOTTOM.3.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	97.83	0.869							ani_screen	classification based on ANI only	GCA_003158275.1, s__Bog-38 sp003158275, 96.79, 91.57, 0.335; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 93.81, 0.683; GCA_003139855.1, s__Bog-38 sp003139855, 95.0, 91.67, 0.521				
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.11.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	GCA_003133645.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	97.95	0.812							ani_screen	classification based on ANI only	GCA_004298115.1, s__RBG-13-68-16 sp004298115, 95.0, 87.55, 0.422; GCA_021818005.1, s__RBG-13-68-16 sp021818005, 95.0, 84.76, 0.183; GCA_002279285.1, s__RBG-13-68-16 sp002279285, 95.0, 92.47, 0.658; GCA_027458945.1, s__RBG-13-68-16 sp027458945, 95.0, 87.05, 0.212				
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.12.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	GCA_003141495.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	99.39	0.881							ani_screen	classification based on ANI only	GCA_003162595.1, s__LD21 sp003162595, 95.0, 89.53, 0.399; GCA_003141715.1, s__LD21 sp003141715, 95.0, 84.03, 0.169				
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.13.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	GCA_003141415.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	99.31	0.86							ani_screen	classification based on ANI only	GCA_017882305.1, s__LD21 sp017882305, 95.0, 83.61, 0.226; GCA_003141715.1, s__LD21 sp003141715, 95.0, 84.06, 0.201; GCA_003141525.1, s__LD21 sp003141525, 95.0, 82.72, 0.156				
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.15.fa	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Fen-1301;s__						GCA_003141435.1	95.0	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Fen-1301;s__Fen-1301 sp003141435	84.15	0.188	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Fen-1301;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		84.61	11.0	0.9621	
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.3.fa	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__Fen-1308;s__						GCA_003170655.1	95.0	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__Fen-1308;s__Fen-1308 sp003170655	97.4	0.513	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__Fen-1308;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		21.43	11.0	0.99999	
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.6.fa	d__Bacteria;p__Bacillota_B;c__DSM-12270;o__Thermacetogeniales;f__Thermacetogeniaceae;g__Palsa-1188;s__						GCA_003132605.1	95.0	d__Bacteria;p__Bacillota_B;c__DSM-12270;o__Thermacetogeniales;f__Thermacetogeniaceae;g__Palsa-1188;s__Palsa-1188 sp003132605	99.33	0.635	d__Bacteria;p__Bacillota_B;c__DSM-12270;o__Thermacetogeniales;f__Thermacetogeniaceae;g__Palsa-1188;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003160265.1, s__Palsa-1188 sp003160265, 95.0, 92.8, 0.297	49.93	11.0	0.99795	
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.7.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__FEN-979 sp003142515	GCA_003142515.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__FEN-979 sp003142515	97.23	0.764							ani_screen	classification based on ANI only	GCA_017882335.1, s__FEN-979 sp017882335, 95.0, 84.85, 0.292				
MEGAHIT-MetaBAT2-Sample_ID22-SF_8_BOTTOM.2.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	GCA_003141415.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	99.82	0.852							ani_screen	classification based on ANI only	GCA_003141715.1, s__LD21 sp003141715, 95.0, 84.21, 0.216; GCA_017882305.1, s__LD21 sp017882305, 95.0, 83.96, 0.237				
MEGAHIT-MetaBAT2-Sample_ID22-SF_8_BOTTOM.4.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	GCA_003133645.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	97.95	0.78							ani_screen	classification based on ANI only	GCA_021818005.1, s__RBG-13-68-16 sp021818005, 95.0, 84.49, 0.161; GCA_002279285.1, s__RBG-13-68-16 sp002279285, 95.0, 92.44, 0.59; GCA_004298115.1, s__RBG-13-68-16 sp004298115, 95.0, 88.46, 0.383; GCA_027458945.1, s__RBG-13-68-16 sp027458945, 95.0, 87.11, 0.186				
MEGAHIT-MetaBAT2-Sample_ID22-SF_8_BOTTOM.5.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__Fen-183;s__Fen-183 sp003152095	GCA_003152095.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__Fen-183;s__Fen-183 sp003152095	99.58	0.884							ani_screen	classification based on ANI only	GCA_937888435.1, s__Fen-183 sp937888435, 95.0, 88.42, 0.3				
MEGAHIT-MetaBAT2-Sample_ID22-SF_8_BOTTOM.6.fa	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__						GCF_003570935.1	95.0	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__Cryosericum odellii	94.73	0.306	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003570985.1, s__Cryosericum hinesii, 95.0, 96.31, 0.578; GCF_003570995.1, s__Cryosericum septentrionale, 95.0, 93.64, 0.308; GCF_003570925.1, s__Cryosericum terrychapinii, 95.0, 93.21, 0.206; GCA_013824685.1, s__Cryosericum sp013824685, 95.0, 91.68, 0.184	22.96	11.0	0.99603	
MEGAHIT-MetaBAT2-Sample_ID22-SF_8_BOTTOM.8.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	GCA_003141495.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	99.71	0.867							ani_screen	classification based on ANI only	GCA_003141715.1, s__LD21 sp003141715, 95.0, 83.38, 0.172; GCA_003162595.1, s__LD21 sp003162595, 95.0, 89.64, 0.419				
MEGAHIT-CONCOCTRefined-Sample_ID22-SF_8_BOTTOM.13_sub.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	98.71	0.69							ani_screen	classification based on ANI only					
MEGAHIT-MaxBin2Refined-Sample_ID22-SF_8_BOTTOM.002.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	95.65	0.781							ani_screen	classification based on ANI only	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 92.61, 0.678; GCA_003158275.1, s__Bog-38 sp003158275, 96.79, 89.57, 0.372; GCA_003139855.1, s__Bog-38 sp003139855, 95.0, 89.78, 0.575				
MEGAHIT-MetaBAT2Refined-Sample_ID22-SF_8_BOTTOM.3.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__						GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	89.51	0.372	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI		GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 85.79, 0.184	93.06	11.0	0.97079	
